	Epic	Name	MarketCap (m)	Shares inissue (m)	DividendYield %	date	Latest Share Price (p)	Market Capitalisation (m)	Share in issue (m)	P/E Ratio	Total dividends per share (p)	Dividend Yield (%)	Dividend cover (x)	NAV per share (p)	Earning per share (p)	52 week high / low	Sector	Activity	Net Gearing (%)	Gross Gearing (%)	Debt Ratio	Debt-to-Equity Ratio	Assets / Equity Ratio	Cash / Equity Ratio	Price to book value	ROCE (%)	EPS Growth (%)	DPS Growth (%)	Year	Reporting date	Tangible assets	Intangible asssets and goodwill	Investments and other non-current assets	Total non-current assets	Inventory / Work in progress	Trade and other receivables	Cash and Equivalents	Other current assets and asset held for resale	Total of all ASSETS	Short term liabilities	Long term liabilities	Other liabilites / pension etc	Total of all LIABILITIES	Net assets	Share Capital	Minority Interests	Retained earnings	Share premium account	Other Equity	Total EQUITY	Cash from operating activities	Cashflow before financing	Increase / Decrease in Cash	Turnover	Cost of sales	Gross Profit	Operating Profit	Pre-Tax profit	Profit / Loss for the year	EntVal	Cheepness	Cheepness rank	Quality rank	Magic score	Magic rank	Buy	Overweight	Hold	Underweight	Sell	Consensus	Analyst Rating	Analyst rank	MyScore	Myscore rank
6	JUP	Jupiter Fund Management	2150	458	0.0	1528877729144248000	469.3	2149.82	457.7	13.61	17.1	0.0	2.02	0.0	34.5	638.80 / 438.40	Financial Services	Asset management.	1.76	28.07	1.51	0.04	1.39	36.58	3.36	29.67	13.86	16.33	2017	31 Dec 2017	8	347	17	372	0	141	234	143	890	240	10	0	250	640	9	0	621	0	10	640	195	131	-25	460	51	410	193	193	155	2166	8.910433979686056	31.0	56.0	87.0	7.0	3	0	9	1	4	Hold	333009	17.0	24.0	11.0
13	MGAM	Morgan Advanced Materials	994	285	3.16	1528877729144248000	344.9	993.66	285.37	9.21	11.0	3.16	3.44	0.0	37.8	366.80 / 277.20	Electronic & Electrical Equipment	Morgan Advanced Materials plc (formerly Morgan Crucible plc) is an advanced materials technology company that provides highly engineered solutions to its chosen markets. Morgan Advanced Materials has a global presence with operations in more than 50 countries. From medical instruments, aerospace, power generation and satellite communications, to body armour, trains and fire protection systems, Morgan Advanced Materials products are fundamental components or enabling technologies for many of the modern world's sophisticated products.	69.38	74.8	64.77	0.62	3.97	21.51	4.24	20.42	105.43	0.0	2017	31 Dec 2017	298	217	21	536	142	192	50	9	930	265	431	0	695	234	72	39	-28	112	39	234	59	95	-61	1022	0	0	158	136	114	1639	9.640024405125077	27.0	89.0	116.0	15.0	5	0	3	1	0	Overweight	555003	12.0	27.0	12.0
14	JD.	JD Sports Fashion	3979	973	0.4	1528877729144248000	418.3	4025.29	973.23	17.36	1.63	0.39	14.62	0.0	23.83	442.10 / 300.20	General Retailers	JD Sports Fashion plc's (formerly John David Sports plc) principal activity is the retail and distribution of sport and athletic inspired fashion, footwear, apparel and accessories. The Group's principal fascias are: JD Sports, Size?, Scotts, Bank and Chausport.	27.33	48.7	11.61	0.14	1.95	41.65	4.82	31.2	29.65	5.16	2018	03 Feb 2018	377	211	67	654	478	146	348	0	1626	682	110	0	792	834	2	64	774	12	-17	834	339	135	102	3161	1630	1532	296	295	236	4423	6.692290300700882	65.0	53.0	118.0	16.0	5	0	1	0	0	Buy	555001	13.0	29.0	13.5
7	NXT	Next	8606	141	2.58	1528877728471987000	6160.0	8721.41	140.62	14.88	158.0	2.55	2.64	0.0	416.7	6,202.00 / 3,565.00	General Retailers	High street retailer with catalogue and on-line operations.	79.07	81.16	70.69	0.56	5.31	11.09	18.07	44.09	-5.57	0.0	2018	31 Jan 2018	560	43	161	764	490	1248	54	6	2562	915	1164	0	2079	483	15	0	2167	1	-1700	483	615	503	-5	4056	2699	1356	760	726	592	10631	7.1489041482456965	54.0	39.0	93.0	9.0	3	0	11	2	6	Hold	3330011	20.0	29.0	13.5
12	RDW	Redrow	2263	370	3.27	1528877729144248000	590.5	2263.18	369.8	8.72	17.0	3.27	3.51	0.0	70.2	673.50 / 536.00	Household Goods & Home Construction	Redrow build new homes in over 100 different locations throughout England, Scotland and Wales. Redrow is one of the U.K.'s most successful residential and commercial property developers, with a reputation for build and service quality.	41.07	43.89	19.54	0.31	1.78	5.02	1.83	20.52	26.71	70.0	2017	30 Jun 2017	16	2	43	61	2043	35	62	0	2201	666	300	0	966	1235	37	0	1131	59	8	1235	128	126	-74	1660	1255	405	322	315	253	3167	10.167350805178401	21.0	87.0	108.0	13.5	4	0	2	0	0	Overweight	444002	16.0	29.5	15.0
23	TW.	Taylor Wimpey	6208	3277	2.5	1528877728471987000	186.5	6207.58	3276.63	11.14	4.74	2.5	3.59	0.0	17.0	211.90 / 173.00	Household Goods & Home Construction	Taylor Wimpey plc was formed through the merger of George Wimpey and Taylor Woodrow on 3rd July 2007. The company is a UK-focused residential developer which also has operations in Spain.	24.73	36.83	17.35	0.36	1.58	19.14	1.98	17.97	-6.08	68.09	2017	31 Dec 2017	23	4	140	167	4076	122	601	1	4966	1170	658	0	1829	3137	289	0	2063	763	23	3137	604	609	149	3965	2932	1033	704	682	555	7436	9.467455621301776	29.0	100.0	129.0	25.5	7	1	5	1	0	Overweight	777115	5.0	30.5	16.0
15	DNLM	Dunelm Group	1156	202	4.63	1528877729144248000	560.5	1155.99	201.92	15.77	26.0	4.63	1.37	0.0	36.3	760.00 / 503.00	General Retailers	Dunelm Group plc was founded in 1979 as a market stall business, selling ready-made curtains. The first shop was opened in Leicester in 1984 and over the following years the business developed into a successful chain of high street shops before expanding, following the opening of the first Dunelm superstore in 1991, into broader homewares categories. Dunelm is now a multi-channel retailer, with Dunelm.com being launched in 2005 and the acquisition of the Worldstores Group accelerating this yet further. Today, around 20% of sales are generated online. Dunelm is market leader in the Â£12bn UK homewares market and active in the Â£11bn UK furniture market. It currently operates 173 stores, of which 169 are out-of-town superstores and 4 are located on high streets, and online stores, the largest of which can be found at www.dunelm.com, www.worldstores.co.uk, www.kiddicare.com and www.achica.com. Dunelm employs approximately 10,000 colleagues and sells around 30,000 product lines in store, increasing to around 300,000 online.	70.57	74.58	62.39	0.57	3.94	15.8	10.5	31.57	-28.12	3.59	2017	01 Jul 2017	195	28	0	223	165	26	17	1	433	141	183	0	323	110	2	0	64	2	43	110	80	14	3	956	489	467	95	92	73	1462	6.49794801641587	70.0	51.0	121.0	17.0	4	0	6	0	4	Hold	444006	14.0	31.0	17.0
21	ASHM	Ashmore Group	2773	713	4.28	1528877729144248000	393.7	2772.56	712.74	15.52	16.65	4.28	1.51	0.0	25.07	447.20 / 318.90	Financial Services	Ashmore Group plc is a specialist active, value-oriented emerging markets asset manager, with a leading position in emerging markets fixed income investment management within global US dollar debt; local currencies and local currency debt; special situations/distressed debt; and has a growing participation in equities. The Company currently focuses on four emerging markets investment themes - Global US Dollar, Global Local Currency, Special Situations/Distressed Debt and Equities - and has a track record of delivering strong, long-term investment performance. Across these diversified investment strategies, as at 30 June 2006, members of the Group managed 13 Ashmore sponsored funds (including open-ended and closed-ended funds), 12 segregated accounts, nine white label funds (funds distributed under another firm's brand) and two structured products ('the Funds'). Ashmore currently has AuM of over US$21 billion. Headquartered in London, with offices in New York and Hong Kong, the Company currently employs 52 staff, including 17 investment professionals and a seven person legal team. The business that is now branded 'Ashmore' was originally formed as a division of ANZ Group and was subsequently bought out by senior executives in early 1999. The Funds managed by Ashmore have a growing investor base of over 1,800 investors across the investment themes, predominantly institutional, with efficient distribution through the Company's own sales force and over 30 distribution agreements and other investment arrangements in place. As at 30 June 2006, approximately 89% of these investors were institutions, such as corporates, financial institutions, government agencies, foundations, pension plans and funds of funds, and the remaining 11% consisted primarily of high net worth individuals. As at 30 June 2006, the top 20 investors in Funds accounted for 60% of Fund AuM, and the top five investors accounted for 35% of Fund AuM.	-25.5	21.33	1.25	0.05	1.27	59.52	3.82	28.02	31.05	0.0	2017	30 Jun 2017	2	80	53	134	0	71	433	286	924	188	9	0	197	727	0	2	5	703	17	727	123	198	74	258	0	0	167	206	170	2537	6.582577847851794	68.0	58.0	126.0	22.5	5	1	13	0	1	Hold	5551113	9.0	31.5	18.5
22	PAGE	PageGroup	1785	327	2.29	1528877729144248000	544.5	1781.37	327.16	20.55	12.5	2.3	2.12	0.0	26.5	566.00 / 418.20	Support Services	PageGroup plc (formerly Michael Page Group) is a specialist professional recruitment company. It offers its services across a broad range of disciplines and specialisms, solely within the professional recruitment market. Its origins are in permanent recruitment, but nearly a quarter of the gross profit of the business is now in temporary placements, where local culture and market conditions allow.	26.84	45.97	6.85	0.09	1.85	35.4	6.6	40.76	14.72	4.34	2017	31 Dec 2017	30	34	25	89	0	299	96	16	500	210	20	0	230	270	3	0	202	93	-28	270	86	70	3	1372	660	712	118	118	83	1919	6.149035956227202	87.0	42.0	129.0	25.5	7	0	5	0	2	Overweight	777005	6.0	31.5	18.5
25	REL	RELX	17727	1049	2.33	1528877728471987000	1681.75	17726.66	1048.6	20.57	39.4	2.33	2.09	0.0	82.2	1,784.00 / 1,399.00	Media	RELX plc (formerly Reed Elsevier Group plc) is a global provider of information and analytics for professional and business customers across industries. The group serves customers in more than 180 countries and has offices in about 40 countries. It employs approximately 30,000 people of whom almost half are in North America. RELX PLC is a London listed holding company, which owns 52.9% of RELX Group. RELX NV is an Amsterdam listed holding company, which owns 47.1% of RELX Group.	79.77	80.67	69.4	0.54	5.17	4.68	7.47	22.35	46.0	9.6	2017	31 Dec 2017	209	9159	756	10124	197	1822	111	29	12283	4526	5383	0	9909	2374	224	21	0	3104	-975	2374	1848	1426	-45	7355	2631	4724	1905	1734	1667	27525	6.920980926430517	61.0	78.0	139.0	30.0	8	1	3	0	1	Overweight	888113	2.0	32.0	20.5
4	BWY	Bellway	4192	123	3.89	1528877729144248000	3294.0	4192.27	122.98	9.2	122.0	3.89	2.8	0.0	370.6	3,805.00 / 2,729.00	Household Goods & Home Construction	Bellway plc is the 4th largest house builder in the UK. Since its formation more than 50 years ago, Bellway has built over 100,000 homes. In 2009 it sold 4,380 homes. Bellway plc sell primarily in the private market and trades nationally in areas of high population.	28.92	30.38	5.13	0.12	1.44	2.1	1.91	24.28	12.75	12.96	2017	31 Jul 2017	11	0	37	48	2968	85	46	0	3147	838	118	0	956	2191	15	0	1983	171	21	2191	153	125	-13	2559	1897	662	572	561	454	5102	11.211289690317521	16.0	68.0	84.0	5.0	10	0	2	1	0	Overweight	101010002	27.0	32.0	20.5
18	SMWH	WH Smith	2231	110	2.45	1528877729144248000	2024.0	2231.01	110.12	19.39	48.2	2.45	2.11	0.0	104.5	2,347.00 / 1,635.00	General Retailers	WH Smith PLC is one of the UK's leading retail groups. WHSmith PLC has 565 high street stores and 490 travel outlets at airport, train station, hospital, workplace and motorway service area locations primarily in the UK, as at 31 August 2009. WHSmith Direct - www.whsmith.co.uk - serves customers on the internet 24 hours a day. WHSmith High Street sells a wide range of newspapers, magazines, stationery, books and impulse products, as well as a range of entertainment products. WHSmith Travel sells a tailored range of Newspapers, Magazines, Books and Confectionery products for people on the move and a broader convenience range in hospitals and workplaces.	53.89	61.68	13.43	0.1	2.61	20.32	11.93	64.81	9.31	9.79	2017	31 Aug 2017	164	67	15	246	150	54	38	0	488	272	29	0	301	187	24	0	406	6	-249	187	148	100	0	1234	0	0	142	140	116	2494	5.693664795509222	100.0	23.0	123.0	19.5	4	0	4	0	1	Overweight	444004	15.0	34.5	22.0
26	POLY	Polymetal International	3023	453	0.0	1528877729144248000	662.4	3023.29	452.59	8.15	44.0	0.0	1.86	0.0	82.0	1,031.00 / 577.80	Mining	Polymetal International plc is a leading precious metals producer in Russia and a leading gold producer in Kazakhstan. In 2010, the Company was the fourth largest gold producer in Russia by production volume and its largest silver producer by production volume, ranked eighth worldwide. Since its founding, the Group has built its asset portfolio by developing new mines, restarting operations put on care and maintenance and acquiring an operating mine. It has increased its annual gold equivalent production from 333 Koz in 2003 to 753 Koz in 2010, a compound annual growth rate of 11 per cent. This strong growth rate primarily resulted from the Group's ability to manage the transition of its mines from development projects into full-scale producing operations by leveraging the extensive in-house expertise of its employees. Polymetal International plc aims to produce over 800 Koz of gold, silver and copper in 2011 (in Au eq. oz) and over 1.4 Moz of gold, silver and copper in 2014 (in Au eq. oz) as a result of continuing to operate existing projects and commissioning new projects, all of which are currently in construction phase or in ramp-up phase. As of 1 July 2011, Polymetal International's resource base included 15.0 Moz of proven and probable gold, silver and copper reserves (in Au eq. oz) according to the JORC Code, 13.5 Moz of gold, silver and copper resources (in Au eq. oz) classified as measured, indicated and inferred (JORC Code). The Group currently owns gold and silver mines and carries out operations in Russia and Kazakhstan. The Group also produces a limited amount of copper concentrate as a by-product of producing gold at one of its processing centres. The Group organises its mining operations into six main operational units: the Dukat hub, the Amursk POX hub, the Omolon hub, the Voro stand-alone mine, the Varvara stand-alone mine and the Khakanja stand-alone mine; and stand-alone exploration operations.	57.07	58.22	55.15	0.88	2.39	2.75	2.31	15.2	-11.83	62.96	2017	31 Dec 2017	2054	18	295	2367	514	71	36	140	3128	214	1607	0	1821	1307	2031	0	406	0	-1130	1307	533	56	-11	1815	1106	709	510	443	354	4808	10.607321131447588	19.0	120.0	139.0	30.0	6	0	5	1	2	Hold	666005	7.0	37.0	23.0
17	IGG	IG Group Holdings	3237	368	3.7	1528877729144248000	874.5	3237.43	367.89	19.05	32.3	3.7	1.42	0.0	46.2	909.00 / 545.50	Financial Services	IG Group Holdings plc is an award-winning, multi-platform trading company, the world's No.1 provider of CFDs and a global leader in forex. It provides leveraged services with the option of limited-risk guarantees, and offers an execution-only share dealing service in the UK, Australia, Germany, France, Ireland, Austria and the Netherlands. IG has recently launched a range of affordable, fully managed investment portfolios, to provide a comprehensive offering to investors and active traders. It is a member of the FTSE 250, with offices across Europe, including a Swiss bank, Africa, Asia-Pacific, the Middle East and the US, where it offers on-exchange limited risk derivatives via the Nadex brand.	-4.09	20.78	0.0	0.0	1.26	31.4	4.4	29.06	2.8	2.87	2017	31 May 2017	17	157	62	236	0	370	231	92	928	193	0	0	193	735	0	0	405	207	123	735	179	125	4	490	0	0	213	214	169	3199	6.65833072835261	66.0	57.0	123.0	19.5	2	0	3	0	1	Hold	222003	25.0	44.5	24.0
20	HAS	Hays	2715	1451	1.77	1528877729144248000	187.45	2699.36	1451.27	19.26	3.22	1.79	2.91	0.0	9.66	206.20 / 161.80	Support Services	Hays plc is the leading global specialist recruitment group. As at 30 June 2017, Hays had 10,000 employees in 250 offices in 33 countries. In many of its global markets, the vast majority of professional and skilled recruitment is still done in-house, with minimal outsourcing to recruitment agencies which presents substantial long-term structural growth opportunities. This has been a key driver of the rapid diversification and internationalisation of the Group, with the International business representing c76% of the Group's net fees, compared with 30% 10 years ago. Its 6,884 consultants work in a broad range of sectors with no sector specialism representing more than 20% of Group net fees. While Accountancy & Finance, Construction & Property and IT represent 51% of Group net fees, our expertise across 20 professional and skilled recruitment specialisms gives it opportunities to rapidly develop newer markets by replicating these long-established, existing areas of expertise. In addition to this international and sectoral diversification, the Group's net fees are generated 59% from temporary and 41% permanent placement markets, and this balance gives its business model relative resilience.	46.66	55.22	1.08	0.01	2.23	19.1	4.6	34.51	10.78	11.03	2017	30 Jun 2017	24	242	23	289	0	908	112	0	1309	717	6	0	723	586	15	0	94	369	108	586	134	113	43	5081	0	0	212	205	139	3326	6.374022850270595	78.0	48.0	126.0	22.5	2	0	7	0	2	Hold	222007	22.5	45.0	25.0
